queueId,priority,priorityReason,decision,recommendedAction,source,sourceId,relatedSourceId,name,category,categoryEligibility,newTier,latitude,longitude,canonicalId,canonicalName,evidence,reviewerDecision,reviewerNotes
MATCH:overture:overture:92a228ca-de5d-49af-b2a9-a6a09c59adfd,P0,high_confidence_gate_not_met,HIGH_CONFIDENCE_MATCH,ENRICH_EXISTING,overture,overture:92a228ca-de5d-49af-b2a9-a6a09c59adfd,,Nhà Hàng Sân Vườn Hai Trí,restaurant,TRAVELER_RELEVANT,,16.06409871,108.18038316,google_maps_1033,Nhà Hàng Sân Vườn Hai Trí,"{""confidence"":0.9824,""reasonCodes"":[""tight_distance"",""strong_name_similarity"",""category_compatible""]}",,
MATCH:overture:overture:9e2d951f-2e67-409e-832c-f990647f0155,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:9e2d951f-2e67-409e-832c-f990647f0155,,Café Giải Khát Phượng Hải,cafe,TRAVELER_RELEVANT,,16.11075215,108.12979532,google_maps_651,Café Giải Khát Phương,"{""confidence"":0.7478,""reasonCodes"":[""nearby_coordinates"",""category_compatible""]}",,
MATCH:overture:overture:a032bf52-d91e-4317-b733-c16315819c03,P4,new_traveler_candidate_needs_evidence,NEW_CANDIDATE,CREATE_NEW,overture,overture:a032bf52-d91e-4317-b733-c16315819c03,,Ốc sỉn,restaurant,TRAVELER_RELEVANT,NEW_TIER_B_REVIEW,16.05770654,108.20947103,google_maps_1892,Quán Ăn Minh Beo,"{""confidence"":0.5154,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:a1c463a9-ad5b-4b86-acc7-2e6dca34e38c,P0,potential_false_merge_or_chain_collision,AMBIGUOUS,DEFER,overture,overture:a1c463a9-ad5b-4b86-acc7-2e6dca34e38c,,Đồng Tiến Bakery - Kinh Dương Vương,bakery,TRAVELER_RELEVANT,,16.07587119,108.1674108,google_maps_1283,Đồng Tiến Bakery - Kinh Dương Vương,"{""confidence"":0.9301,""reasonCodes"":[""multiple_probable_candidates""]}",,
MATCH:overture:overture:a9165d43-8f39-4d95-8084-e8914aadcc8a,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:a9165d43-8f39-4d95-8084-e8914aadcc8a,,Singapore International School,market,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,15.99037136,108.25982807,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:aa3db1f7-022e-4e65-b73c-2aa0eb729cc2,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:aa3db1f7-022e-4e65-b73c-2aa0eb729cc2,,Khách Sạn Johnny Đà Nẵng,accommodation,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.07619,108.24195,google_maps_2743,Hải Sản Phủi,"{""confidence"":0.388,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:aaccdd52-36df-438b-8ab1-32c9cd74c60b,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:aaccdd52-36df-438b-8ab1-32c9cd74c60b,,Viet's Coffee,cafe,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.02399664,108.21047072,google_maps_4998,Útt's Cafe,"{""confidence"":0.5176,""reasonCodes"":[""incompatible_category"",""no_credible_canonical_match""]}",,
MATCH:overture:overture:b66808b9-36fc-4af0-b7a5-55df001e7f18,P1,high_value_probable_match,PROBABLE_MATCH,ENRICH_EXISTING,overture,overture:b66808b9-36fc-4af0-b7a5-55df001e7f18,,Trà sữa FOR YOU,cafe,TRAVELER_RELEVANT,,16.07337238,108.17756448,google_maps_1083,Trà sữa FOR YOU,"{""confidence"":0.9214,""reasonCodes"":[""exact_name_threshold_edge"",""category_compatible""]}",,
MATCH:overture:overture:c18339cc-7f64-44f1-a40f-14a39d978bf2,P2,strong_new_traveler_candidate,NEW_CANDIDATE,CREATE_NEW,overture,overture:c18339cc-7f64-44f1-a40f-14a39d978bf2,,Quán Phước Râu,restaurant,TRAVELER_RELEVANT,NEW_TIER_A_STRONG,16.07444387,108.18148615,,,"{""confidence"":0,""reasonCodes"":[""no_credible_canonical_match""]}",,
MATCH:overture:overture:c405f96c-f080-49b9-9e26-c7d44fd4766d,P0,high_confidence_gate_not_met,HIGH_CONFIDENCE_MATCH,ENRICH_EXISTING,overture,overture:c405f96c-f080-49b9-9e26-c7d44fd4766d,,Quán Ăn Cô Nguyệt,restaurant,TRAVELER_RELEVANT,,16.03192396,108.22820056,google_maps_2059,Quán Ăn Cô Nguyệt,"{""confidence"":0.9938,""reasonCodes"":[""tight_distance"",""strong_name_similarity"",""category_compatible""]}",,
